WellName,Constituent,SampleDate,Result,Units,Flags
MW-01,BENZENE,38313,1200,ug/l,
MW-01,GW,38313,92.48,Level,
MW-01,TOLUENE,38313,98,ug/l,
MW-01,XYLENE,38313,37,ug/l,
MW-10,BENZENE,38313,260,ug/l,
MW-10,GW,38313,91.25,Level,
MW-10,TOLUENE,38313,9.8,ug/l,
MW-10,XYLENE,38313,ND<0.50,ug/l,
MW-11,BENZENE,38313,490,ug/l,
MW-11,GW,38313,91.79,Level,
MW-11,TOLUENE,38313,13,ug/l,
MW-11,XYLENE,38313,ND<0.50,ug/l,
MW-02,BENZENE,38313,21000,ug/l,
MW-02,GW,38313,92.38,Level,
MW-02,TOLUENE,38313,96,ug/l,
MW-02,XYLENE,38313,130,ug/l,
MW-03,BENZENE,38313,ND<10,ug/l,
MW-03,GW,38313,94.71,Level,
MW-03,TOLUENE,38313,ND<1.0,ug/l,
MW-03,XYLENE,38313,ND<0.50,ug/l,
MW-04,BENZENE,38313,ND<50,ug/l,
MW-04,GW,38313,93.88,Level,
MW-04,TOLUENE,38313,600,ug/l,
MW-04,XYLENE,38313,ND<2.5,ug/l,
MW-05,BENZENE,38313,ND<10,ug/l,
MW-05,GW,38313,95.82,Level,
MW-05,TOLUENE,38313,ND<1.0,ug/l,
MW-05,XYLENE,38313,ND<0.50,ug/l,
MW-06,BENZENE,38313,140,ug/l,
MW-06,GW,38313,92.4,Level,
MW-06,TOLUENE,38313,180,ug/l,
MW-06,XYLENE,38313,ND<0.50,ug/l,
MW-07,BENZENE,38313,3700,ug/l,
MW-07,GW,38313,92.22,Level,
MW-07,TOLUENE,38313,2700,ug/l,
MW-07,XYLENE,38313,ND<10,ug/l,
MW-08,BENZENE,38313,99,ug/l,
MW-08,GW,38313,93.64,Level,
MW-08,TOLUENE,38313,560,ug/l,
MW-08,XYLENE,38313,ND<0.50,ug/l,
MW-09,BENZENE,38313,80,ug/l,
MW-09,GW,38313,91.16,Level,
MW-09,TOLUENE,38313,ND<1.0,ug/l,
MW-09,XYLENE,38313,ND<0.50,ug/l,
MW-01,BENZENE,38398,1300,ug/l,
MW-01,GW,38398,92.91,Level,
MW-01,TOLUENE,38398,79,ug/l,
MW-01,XYLENE,38398,30,ug/l,
MW-10,BENZENE,38398,240,ug/l,
MW-10,GW,38398,91.65,Level,
MW-10,TOLUENE,38398,15,ug/l,
MW-10,XYLENE,38398,ND<0.50,ug/l,
MW-11,BENZENE,38398,6600,ug/l,
MW-11,GW,38398,92.47,Level,
MW-11,TOLUENE,38398,31,ug/l,
MW-11,XYLENE,38398,10,ug/l,
MW-02,BENZENE,38398,14000,ug/l,
MW-02,GW,38398,92.89,Level,
MW-02,TOLUENE,38398,280,ug/l,
MW-02,XYLENE,38398,340,ug/l,
MW-03,BENZENE,38398,ND<10,ug/l,
MW-03,GW,38398,96.29,Level,
MW-03,TOLUENE,38398,ND<1.0,ug/l,
MW-03,XYLENE,38398,ND<0.50,ug/l,
MW-04,BENZENE,38398,2900,ug/l,
MW-04,GW,38398,93.93,Level,
MW-04,TOLUENE,38398,260,ug/l,
MW-04,XYLENE,38398,ND<2.5,ug/l,
MW-05,BENZENE,38398,ND<10,ug/l,
MW-05,GW,38398,96.84,Level,
MW-05,TOLUENE,38398,ND<1.0,ug/l,
MW-05,XYLENE,38398,ND<0.50,ug/l,
MW-06,BENZENE,38398,450,ug/l,
MW-06,GW,38398,93.02,Level,
MW-06,TOLUENE,38398,18,ug/l,
MW-06,XYLENE,38398,ND<0.50,ug/l,
MW-07,BENZENE,38398,4300,ug/l,
MW-07,GW,38398,92.69,Level,
MW-07,TOLUENE,38398,2300,ug/l,
MW-07,XYLENE,38398,ND<10,ug/l,
MW-08,BENZENE,38398,100,ug/l,
MW-08,GW,38398,93.71,Level,
MW-08,TOLUENE,38398,1900,ug/l,
MW-08,XYLENE,38398,ND<2.5,ug/l,
MW-09,BENZENE,38398,130,ug/l,
MW-09,GW,38398,91.71,Level,
MW-09,TOLUENE,38398,2.8,ug/l,
MW-09,XYLENE,38398,ND<0.50,ug/l,
MW-01,BENZENE,38489,540,ug/l,
MW-01,GW,38489,92.71,Level,
MW-01,TOLUENE,38489,72,ug/l,
MW-01,XYLENE,38489,15,ug/l,
MW-10,BENZENE,38489,130,ug/l,
MW-10,GW,38489,91.4,Level,
MW-10,TOLUENE,38489,11,ug/l,
MW-10,XYLENE,38489,ND<0.50,ug/l,
MW-11,BENZENE,38489,2700,ug/l,
MW-11,GW,38489,92.22,Level,
MW-11,TOLUENE,38489,35,ug/l,
MW-11,XYLENE,38489,ND<2.5,ug/l,
MW-02,BENZENE,38489,4100,ug/l,
MW-02,GW,38489,92.73,Level,
MW-02,TOLUENE,38489,100,ug/l,
MW-02,XYLENE,38489,100,ug/l,
MW-03,BENZENE,38489,ND<10,ug/l,
MW-03,GW,38489,95.76,Level,
MW-03,TOLUENE,38489,ND<1.0,ug/l,
MW-03,XYLENE,38489,ND<0.50,ug/l,
MW-04,BENZENE,38489,ND<50,ug/l,
MW-04,GW,38489,93.86,Level,
MW-04,TOLUENE,38489,340,ug/l,
MW-04,XYLENE,38489,ND<2.5,ug/l,
MW-05,BENZENE,38489,ND<10,ug/l,
MW-05,GW,38489,96.62,Level,
MW-05,TOLUENE,38489,ND<1.0,ug/l,
MW-05,XYLENE,38489,0.65,ug/l,
MW-06,BENZENE,38489,200,ug/l,
MW-06,GW,38489,92.77,Level,
MW-06,TOLUENE,38489,27,ug/l,
MW-06,XYLENE,38489,ND<0.50,ug/l,
MW-07,BENZENE,38489,4900,ug/l,
MW-07,GW,38489,92.5,Level,
MW-07,TOLUENE,38489,2900,ug/l,
MW-07,XYLENE,38489,ND<10,ug/l,
MW-08,BENZENE,38489,ND<50,ug/l,
MW-08,GW,38489,93.72,Level,
MW-08,TOLUENE,38489,1100,ug/l,
MW-08,XYLENE,38489,ND<2.5,ug/l,
MW-09,BENZENE,38489,ND<10,ug/l,
MW-09,GW,38489,91.42,Level,
MW-09,TOLUENE,38489,ND<1.0,ug/l,
MW-09,XYLENE,38489,ND<0.50,ug/l,
MW-01,BENZENE,38580,950,ug/l,
MW-01,GW,38580,92.43,Level,
MW-01,TOLUENE,38580,110,ug/l,
MW-01,XYLENE,38580,31,ug/l,
MW-10,BENZENE,38580,120,ug/l,
MW-10,GW,38580,91.06,Level,
MW-10,TOLUENE,38580,9.7,ug/l,
MW-10,XYLENE,38580,ND<0.50,ug/l,
MW-11,BENZENE,38580,4000,ug/l,
MW-11,GW,38580,91.64,Level,
MW-11,TOLUENE,38580,52,ug/l,
MW-11,XYLENE,38580,ND<2.5,ug/l,
MW-02,BENZENE,38580,13000,ug/l,
MW-02,GW,38580,92.4,Level,
MW-02,TOLUENE,38580,170,ug/l,
MW-02,XYLENE,38580,210,ug/l,
MW-03,BENZENE,38580,ND<10,ug/l,
MW-03,GW,38580,94.87,Level,
MW-03,TOLUENE,38580,ND<1.0,ug/l,
MW-03,XYLENE,38580,ND<0.50,ug/l,
MW-04,BENZENE,38580,ND<50,ug/l,
MW-04,GW,38580,93.86,Level,
MW-04,TOLUENE,38580,360,ug/l,
MW-04,XYLENE,38580,ND<2.5,ug/l,
MW-05,BENZENE,38580,ND<10,ug/l,
MW-05,GW,38580,95.65,Level,
MW-05,TOLUENE,38580,ND<1.0,ug/l,
MW-05,XYLENE,38580,ND<0.50,ug/l,
MW-06,BENZENE,38580,480,ug/l,
MW-06,GW,38580,92.46,Level,
MW-06,TOLUENE,38580,11,ug/l,
MW-06,XYLENE,38580,0.52,ug/l,
MW-07,BENZENE,38580,6300,ug/l,
MW-07,GW,38580,92.29,Level,
MW-07,TOLUENE,38580,2900,ug/l,
MW-07,XYLENE,38580,ND<10,ug/l,
MW-08,BENZENE,38580,130,ug/l,
MW-08,GW,38580,93.49,Level,
MW-08,TOLUENE,38580,100,ug/l,
MW-08,XYLENE,38580,ND<0.50,ug/l,
MW-09,BENZENE,38580,320,ug/l,
MW-09,GW,38580,91.54,Level,
MW-09,TOLUENE,38580,3.8,ug/l,
MW-09,XYLENE,38580,ND<0.50,ug/l,
MW-01,BENZENE,38672,390,ug/l,
MW-01,GW,38672,92.32,Level,
MW-01,TOLUENE,38672,150,ug/l,
MW-01,XYLENE,38672,31,ug/l,
MW-10,BENZENE,38672,91,ug/l,
MW-10,GW,38672,90.99,Level,
MW-10,TOLUENE,38672,7.1,ug/l,
MW-10,XYLENE,38672,ND<0.50,ug/l,
MW-11,BENZENE,38672,1900,ug/l,
MW-11,GW,38672,91.41,Level,
MW-11,TOLUENE,38672,93,ug/l,
MW-11,XYLENE,38672,ND<2.5,ug/l,
MW-02,BENZENE,38672,13000,ug/l,
MW-02,GW,38672,92.34,Level,
MW-02,TOLUENE,38672,140,ug/l,
MW-02,XYLENE,38672,160,ug/l,
MW-03,BENZENE,38672,ND<10,ug/l,
MW-03,GW,38672,94.55,Level,
MW-03,TOLUENE,38672,ND<1.0,ug/l,
MW-03,XYLENE,38672,ND<0.50,ug/l,
MW-04,BENZENE,38672,ND<50,ug/l,
MW-04,GW,38672,93.83,Level,
MW-04,TOLUENE,38672,350,ug/l,
MW-04,XYLENE,38672,ND<2.5,ug/l,
MW-05,BENZENE,38672,ND<10,ug/l,
MW-05,GW,38672,95.44,Level,
MW-05,TOLUENE,38672,ND<1.0,ug/l,
MW-05,XYLENE,38672,ND<0.50,ug/l,
MW-06,BENZENE,38672,420,ug/l,
MW-06,GW,38672,92.25,Level,
MW-06,TOLUENE,38672,38,ug/l,
MW-06,XYLENE,38672,ND<0.50,ug/l,
MW-07,BENZENE,38672,9100,ug/l,
MW-07,GW,38672,92.26,Level,
MW-07,TOLUENE,38672,1700,ug/l,
MW-07,XYLENE,38672,ND<10,ug/l,
MW-08,BENZENE,38672,130,ug/l,
MW-08,GW,38672,93.43,Level,
MW-08,TOLUENE,38672,440,ug/l,
MW-08,XYLENE,38672,ND<0.50,ug/l,
MW-09,BENZENE,38672,110,ug/l,
MW-09,GW,38672,91,Level,
MW-09,TOLUENE,38672,2.4,ug/l,
MW-09,XYLENE,38672,ND<0.50,ug/l,
MW-01,BENZENE,38749,570,ug/l,
MW-01,TOLUENE,38749,99,ug/l,
MW-01,XYLENE,38749,25,ug/l,
MW-10,BENZENE,38749,34,ug/l,
MW-10,GW,38749,91.41,Level,
MW-10,TOLUENE,38749,6,ug/l,
MW-10,XYLENE,38749,ND<0.50,ug/l,
MW-11,BENZENE,38749,5400,ug/l,
MW-11,GW,38749,92.26,Level,
MW-11,TOLUENE,38749,17,ug/l,
MW-11,XYLENE,38749,ND<5.0,ug/l,
MW-02,BENZENE,38749,6500,ug/l,
MW-02,TOLUENE,38749,240,ug/l,
MW-02,XYLENE,38749,370,ug/l,
MW-03,BENZENE,38749,ND<10,ug/l,
MW-03,GW,38749,95.38,Level,
MW-03,TOLUENE,38749,ND<1.0,ug/l,
MW-03,XYLENE,38749,ND<0.50,ug/l,
MW-04,BENZENE,38749,ND<10,ug/l,
MW-04,GW,38749,93.97,Level,
MW-04,TOLUENE,38749,190,ug/l,
MW-04,XYLENE,38749,ND<0.50,ug/l,
MW-05,BENZENE,38749,ND<10,ug/l,
MW-05,GW,38749,96.29,Level,
MW-05,TOLUENE,38749,ND<1.0,ug/l,
MW-05,XYLENE,38749,ND<0.50,ug/l,
MW-06,BENZENE,38749,260,ug/l,
MW-06,GW,38749,92.73,Level,
MW-06,TOLUENE,38749,9.9,ug/l,
MW-06,XYLENE,38749,ND<0.50,ug/l,
MW-07,BENZENE,38749,6800,ug/l,
MW-07,GW,38749,92.49,Level,
MW-07,TOLUENE,38749,1300,ug/l,
MW-07,XYLENE,38749,ND<10,ug/l,
MW-08,BENZENE,38749,56,ug/l,
MW-08,GW,38749,93.71,Level,
MW-08,TOLUENE,38749,77,ug/l,
MW-08,XYLENE,38749,ND<0.50,ug/l,
MW-09,BENZENE,38749,ND<10,ug/l,
MW-09,GW,38749,91.39,Level,
MW-09,TOLUENE,38749,1.7,ug/l,
MW-09,XYLENE,38749,ND<0.50,ug/l,
